,country,page,revision_id,article_quality,population
0,Zambia,Gladys Lundwe,757566606,Stub,17.7
1,Zambia,Mwamba Luchembe,764848643,Stub,17.7
2,Zambia,Thandiwe Banda,768166426,Start,17.7
3,Zambia,Sylvester Chisembele,776082926,C,17.7
4,Zambia,Victoria Kalima,776530837,Start,17.7
5,Zambia,Margaret Mwanakatwe,779747587,Start,17.7
6,Zambia,Nkandu Luo,779747961,Start,17.7
7,Zambia,Susan Nakazwe,779748181,Start,17.7
8,Zambia,Catherine Namugala,779748285,Start,17.7
9,Zambia,Edith Nawakwi,779748522,Start,17.7
10,Zambia,Joyce Nonde-Simukoko,779748628,Start,17.7
11,Zambia,Gladys Nyirongo,779748837,C,17.7
12,Zambia,Vera Tembo,779748931,C,17.7
13,Zambia,Ompie Nkumbula-Lieventhal,790011468,Stub,17.7
14,Zambia,Besnat Jere,791225634,Stub,17.7
15,Zambia,Esther Lungu,792296625,C,17.7
16,Zambia,Inonge Wina,794006130,Start,17.7
17,Zambia,Maureen Mwanawasa,795820299,Start,17.7
18,Zambia,First Lady of Zambia,796467991,Start,17.7
19,Zambia,Jean Kapata,797469872,Start,17.7
20,Zambia,Peter Sinkamba,799512628,Start,17.7
21,Zambia,Gwendoline Konie,803304465,Start,17.7
22,Zambia,Kenneth Kaunda,805875783,C,17.7
23,Zambia,Inonge Mbikusita-Lewanika,805993958,Start,17.7
24,Zambia,Yobert K. Shamapande,806345311,C,17.7
25,Chad,Bir I of Kanem,355319463,Stub,15.4
26,Chad,Abdullah II of Kanem,498683267,Stub,15.4
27,Chad,Salmama II of Kanem,565745353,Stub,15.4
28,Chad,Kuri I of Kanem,565745365,Stub,15.4
29,Chad,Mohammed I of Kanem,565745375,Stub,15.4
30,Chad,Kuri II of Kanem,669719757,Stub,15.4
31,Chad,Bir II of Kanem,670893206,Stub,15.4
32,Chad,Mahamat Hissene,693055898,Stub,15.4
33,Chad,Othman I,705432607,Stub,15.4
34,Chad,Alphonse Kotiga,707593108,Stub,15.4
35,Chad,Oueddei Kichidemi,708346649,Start,15.4
36,Chad,Dunama I,710675092,Stub,15.4
37,Chad,Ahmad (Kanem-Bornu king),711388267,Stub,15.4
38,Chad,Djibrine Kerallah,712971263,Stub,15.4
39,Chad,Maurice Ngangtar,712971315,Stub,15.4
40,Chad,Idriss Miskine,712971738,Stub,15.4
41,Chad,Laoukein Kourayo Médard,716886170,Stub,15.4
42,Chad,Nadji Madou,716886788,Stub,15.4
43,Chad,Noël Milarew Odingar,716891799,Start,15.4
44,Chad,Yaya Dillo Djérou,717733209,Stub,15.4
45,Chad,Acheikh Ibn-Oumar,719821590,Start,15.4
46,Chad,Quatre Sou Quatre,720066754,Stub,15.4
47,Chad,Ali Gazi,722563340,Stub,15.4
48,Chad,Mahamat Djarma Khatir,725132042,Stub,15.4
49,Chad,Dunama IX Lefiami,731749611,Stub,15.4
50,Chad,Dawud of Kanem,736550266,Stub,15.4
51,Chad,Ahmed Koulamallah,738855197,Start,15.4
52,Chad,Abbo Nassour,741369486,B,15.4
53,Chad,Abdel Kader Baba-Laddé,742213176,Stub,15.4
54,Chad,Hummay,747271475,Stub,15.4
55,Chad,Ngarlejy Yorongar,751304544,C,15.4
56,Chad,Saleh Kezabo,751380073,Stub,15.4
57,Chad,Bourkou Louise Kabo,757072468,Start,15.4
58,Chad,Brahim Koulamallah,757802238,Stub,15.4
59,Chad,Saadie Goukouni Weddeye,757842614,Start,15.4
60,Chad,Mahamoud Adam Béchir,762579466,Start,15.4
61,Chad,Kalthouma Nguembang,762816132,Stub,15.4
62,Chad,Djidingar Dono Ngardoum,764133533,Stub,15.4
63,Chad,Template:ChadPMs,768123377,Stub,15.4
64,Chad,Template:ChadPres,770535091,Stub,15.4
65,Chad,Youssouf Saleh Abbas,771052289,B,15.4
66,Chad,Koibla Djimasta,774223245,Start,15.4
67,Chad,Nassour Guelendouksia Ouaido,774223248,C,15.4
68,Chad,Joseph Brahim Seid,777478442,Stub,15.4
69,Chad,Joseph Yodoyman,777550078,Start,15.4
70,Chad,Antoine Bangui,782638002,Start,15.4
71,Chad,Ibrahim IV of Bornu,785614014,Stub,15.4
72,Chad,Hadjé Halimé,786449636,C,15.4
73,Chad,Youssouf Togoïmi,787390241,Start,15.4
74,Chad,Adoum Younousmi,787719236,Start,15.4
75,Chad,François Tombalbaye,787738541,C,15.4
76,Chad,Ahmat Hassaballah Soubiane,787910771,Stub,15.4
77,Chad,Ahmad Allam-Mi,787921293,Start,15.4
78,Chad,Laotegguelnodji Koumtog,788009613,Stub,15.4
79,Chad,Mahamat Ali Adoum,788014671,Start,15.4
80,Chad,Mahamat Saleh Annadif,788658822,C,15.4
81,Chad,Mohamed Bechir-Sow,788827248,Stub,15.4
82,Chad,Gontchomé Sahoulba,788828388,Start,15.4
83,Chad,Gabriel Lisette,788828519,Start,15.4
84,Chad,Ali II of Bornu,788999424,Stub,15.4
85,Chad,Arabi El Goni,789126126,Stub,15.4
86,Chad,Dunama Dabbalemi,789935196,Start,15.4
87,Chad,Idris Alooma,792734868,Start,15.4
88,Chad,Mahamat Nouri,792954115,FA,15.4
89,Chad,Idriss Ndele Moussa,796654025,Stub,15.4
90,Chad,Mbaydoum Simeon,796690873,Stub,15.4
91,Chad,Ngarindo Milengar,796700718,Stub,15.4
92,Chad,List of Prime Ministers of Chad,797747674,Start,15.4
93,Chad,Idriss Déby,798286150,C,15.4
94,Chad,Saleh Kebzabo,798626040,C,15.4
95,Chad,Moussa Faki,799043301,C,15.4
96,Chad,Template:Chad-politician-stub,799373925,Stub,15.4
97,Chad,Kalzeubet Pahimi Deubet,799413193,Start,15.4
98,Chad,Haroun Kabadi,799447895,Start,15.4
99,Chad,Nagoum Yamassoum,799447995,Start,15.4
100,Chad,Outel Bono,799448338,Start,15.4
101,Chad,Ahmat Acyl,799902492,C,15.4
102,Chad,Djimrangar Dadnadji,800133552,Start,15.4
103,Chad,Delwa Kassiré Koumakoye,801029539,C,15.4
104,Chad,Fidèle Moungar,801192255,C,15.4
105,Chad,Jean Alingué Bawoyeu,801192303,B,15.4
106,Chad,Emmanuel Nadingar,801573576,C,15.4
107,Chad,Roger Djikisna,801583221,Stub,15.4
108,Chad,Firmin Djidingar,801583260,Stub,15.4
109,Chad,Idris I of Kanem,802874918,Stub,15.4
110,Chad,Vice President of Chad,803166509,Stub,15.4
111,Chad,Hissène Habré,803166806,GA,15.4
112,Chad,Negue Djogo,803166989,Start,15.4
113,Chad,Wadel Abdelkader Kamougué,803167152,C,15.4
114,Chad,Félix Malloum,803167336,Start,15.4
115,Chad,Lol Mahamat Choua,803167424,C,15.4
116,Chad,Goukouni Oueddei,803167990,C,15.4
117,Chad,Albert Pahimi Padacké,803433107,C,15.4
118,Chad,List of heads of state of Chad,803812011,Start,15.4
119,Chad,Elise Loum,804773540,Start,15.4
120,Chad,Agnes Allafi,805493169,Start,15.4
121,Chad,Christine Georges Diguibaye,806337653,Stub,15.4
122,Chad,Pascal Yoadimnadji,806508985,Start,15.4
123,Chad,Aissa Koli,806616268,Start,15.4
124,Chad,Omar I of Kanem,807425129,Start,15.4
125,Zimbabwe,Template:Zimbabwe-politician-stub,391862046,Stub,14.0
126,Zimbabwe,Template:Zimbabwe-mayor-stub,444767985,Stub,14.0
127,Zimbabwe,Jabulani Dube,645408814,Stub,14.0
128,Zimbabwe,Fletcher Dulini,669981316,Stub,14.0
129,Zimbabwe,Leopold Takawira,710060929,Start,14.0
130,Zimbabwe,Tinos Rusere,710524880,Start,14.0
131,Zimbabwe,Gift Tandare,710615823,Stub,14.0
132,Zimbabwe,Engelbert Rugeje,711448400,Start,14.0
133,Zimbabwe,Max Mnkandla,711509855,Stub,14.0
134,Zimbabwe,Lovemore Matombo,711958194,Stub,14.0
135,Zimbabwe,Alfred Nikita Mangena,712004487,Stub,14.0
136,Zimbabwe,Simbi Mubako,713121927,Stub,14.0
137,Zimbabwe,Nicholas Kiti kiti,713308132,Stub,14.0
138,Zimbabwe,Aleck Gumbo,713580662,Stub,14.0
139,Zimbabwe,Jabulani Sibanda,713618917,Start,14.0
140,Zimbabwe,Cain Mathema,713726531,Stub,14.0
141,Zimbabwe,Patrick Kombayi,713740128,Stub,14.0
142,Zimbabwe,Langton Towungana,713899377,Stub,14.0
143,Zimbabwe,Eric Matinenga,714455111,Stub,14.0
144,Zimbabwe,Emmanuel Chiroto,714535045,Stub,14.0
145,Zimbabwe,Muchadeyi Masunda,714706533,C,14.0
146,Zimbabwe,David Butau,714967769,Stub,14.0
147,Zimbabwe,Thompson Samkange,715131189,Stub,14.0
148,Zimbabwe,Nomalanga Khumalo,715183334,Stub,14.0
149,Zimbabwe,Henry Dzinotyiweyi,715867004,Stub,14.0
150,Zimbabwe,Edward Raradza,716017725,Stub,14.0
151,Zimbabwe,Rekayi Tangwena,716669163,Stub,14.0
152,Zimbabwe,Sibonile Nyamudeza,717380254,Stub,14.0
153,Zimbabwe,Misheck Kagurabadza,720008799,Stub,14.0
154,Zimbabwe,Morgan Femai,721674926,Stub,14.0
155,Zimbabwe,Bybit Lydia Tsomondo,723082034,Stub,14.0
156,Zimbabwe,Kisinoti Mukwazhe,723353282,Stub,14.0
157,Zimbabwe,David Karimanzira,725242133,Stub,14.0
158,Zimbabwe,Sobusa Gula-Ndebele,726651867,Stub,14.0
159,Zimbabwe,Sylvester Nguni,726686195,Stub,14.0
160,Zimbabwe,Thamsanqa Mahlangu,726687480,Stub,14.0
161,Zimbabwe,Tichaona Mudzingwa,726687648,Stub,14.0
162,Zimbabwe,Murisi Zwizwai,726687669,Stub,14.0
163,Zimbabwe,Samuel Undenge,726688144,Stub,14.0
164,Zimbabwe,Reuben Marumahoko,726688205,Stub,14.0
165,Zimbabwe,Simon Khaya-Moyo,730764918,Stub,14.0
166,Zimbabwe,"List of candidates in the Zimbabwean parliamentary election, 2013",735498335,B,14.0
167,Zimbabwe,Jevan Maseko,736911246,Stub,14.0
168,Zimbabwe,Munacho Mutezo,738729779,Stub,14.0
169,Zimbabwe,Sesel Zvidzai,738810400,Stub,14.0
170,Zimbabwe,Samuel Sipepa Nkomo,738992625,Stub,14.0
171,Zimbabwe,Faber Chidarikire,738992871,Start,14.0
172,Zimbabwe,Willard Chiwewe,738992910,Stub,14.0
173,Zimbabwe,Martin Dinha,738992918,Stub,14.0
174,Zimbabwe,Herbert Ushewokunze,739137894,Stub,14.0
175,Zimbabwe,Nyasha Chikwinya,742899761,Start,14.0
176,Zimbabwe,Naomi Nhiwatiwa,743971092,Start,14.0
177,Zimbabwe,Bright Matonga,744753863,Stub,14.0
178,Zimbabwe,Thokozani Khuphe,747274193,Start,14.0
179,Zimbabwe,Border Gezi,748061603,Start,14.0
180,Zimbabwe,Rugare Gumbo,749496266,Start,14.0
181,Zimbabwe,George Nyandoro,750224976,Start,14.0
182,Zimbabwe,Paul Chimedza,750428952,Stub,14.0
183,Zimbabwe,Gorden Moyo,750974704,Stub,14.0
184,Zimbabwe,Daniel Shumba,753294248,Start,14.0
185,Zimbabwe,Douglas Mombeshora,755110125,Stub,14.0
186,Zimbabwe,Munyaradzi Gwisai,755337199,Start,14.0
187,Zimbabwe,Olivia Muchena,757616307,Start,14.0
188,Zimbabwe,Paurine Mpariwa,757616437,Stub,14.0
189,Zimbabwe,Sithembiso Nyoni,757617613,Stub,14.0
190,Zimbabwe,Earnest Mudzengi,757796569,Stub,14.0
191,Zimbabwe,Gift Banda,758442662,Stub,14.0
192,Zimbabwe,Wilson Kumbula,759330558,Stub,14.0
193,Zimbabwe,Paurina Mpariwa,760532029,Stub,14.0
194,Zimbabwe,Flora Buka,762630896,Stub,14.0
195,Zimbabwe,Elliot Manyika,763330074,Start,14.0
196,Zimbabwe,Diana Mitchell,764299725,Start,14.0
197,Zimbabwe,Maurice Nyagumbo,764826793,Start,14.0
198,Zimbabwe,Josiah Zion Gumede,765095810,Start,14.0
199,Zimbabwe,Edson Zvobgo,767922311,Start,14.0
200,Zimbabwe,Felix Magalela Mafa Sibanda,769519957,C,14.0
201,Zimbabwe,Tracy Mutinhiri,769876632,Stub,14.0
202,Zimbabwe,Kayisa Ndiweni,771958995,Stub,14.0
203,Zimbabwe,Enoch Dumbutshena,774026217,Stub,14.0
204,Zimbabwe,Hubert Nyanhongo,774061307,Stub,14.0
205,Zimbabwe,James Chikerema,775935799,C,14.0
206,Zimbabwe,Victoria Chitepo,776389556,Start,14.0
207,Zimbabwe,Joel Gabuza,776840034,Stub,14.0
208,Zimbabwe,Trudy Stevenson,776943338,Start,14.0
209,Zimbabwe,Joram Gumbo,777424335,Stub,14.0
210,Zimbabwe,Joseph Chinotimba,777482252,C,14.0
211,Zimbabwe,Nkululeko Sibanda,777623864,Start,14.0
212,Zimbabwe,Janet Banana,777849777,Stub,14.0
213,Zimbabwe,Lazarus Dokora,780062778,Stub,14.0
214,Zimbabwe,Lutho Tapela,782607746,Stub,14.0
215,Zimbabwe,Moven Mahachi,783298283,Stub,14.0
216,Zimbabwe,Margaret Dongo,783419906,Start,14.0
217,Zimbabwe,Sekai Holland,783637102,C,14.0
218,Zimbabwe,George Chiweshe,783919896,Start,14.0
219,Zimbabwe,Josiah Mushore Chinamano,784396785,Stub,14.0
220,Zimbabwe,Michael Bimha,784668448,Stub,14.0
221,Zimbabwe,Josiah Tongogara,786913202,C,14.0
222,Zimbabwe,Naison Ndlovu,787854175,Stub,14.0
223,Zimbabwe,Enos Mdlongwa,787854640,Stub,14.0
224,Zimbabwe,Lindiwe Majele Sibanda,788247480,Start,14.0
225,Zimbabwe,Ndabaningi Sithole,788291899,C,14.0
226,Zimbabwe,Ambrose Mutinhiri,788777043,Stub,14.0
227,Zimbabwe,Judith Todd,788792548,Start,14.0
228,Zimbabwe,Andrew Langa,789094827,Stub,14.0
229,Zimbabwe,Christopher Kuruneri,789427326,Start,14.0
230,Zimbabwe,Priscilla Misihairabwi-Mushonga,789545114,Stub,14.0
231,Zimbabwe,Swithun Mombeshora,789545179,Stub,14.0
232,Zimbabwe,Oppah Muchinguri,789545185,Stub,14.0
233,Zimbabwe,Samuel Mumbengegwi,789545206,Start,14.0
234,Zimbabwe,Chris Mushohwe,789545212,Stub,14.0
235,Zimbabwe,Giles Mutsekwa,789545214,Start,14.0
236,Zimbabwe,Francis Nhema,789545220,Stub,14.0
237,Zimbabwe,Mike Nyambuya,789545233,Stub,14.0
238,Zimbabwe,Solomon Mujuru,789898624,C,14.0
239,Zimbabwe,Ronald Penza,789948565,Stub,14.0
240,Zimbabwe,Joseph Made,789965571,Start,14.0
241,Zimbabwe,Evelyn Masaiti,790034879,Stub,14.0
242,Zimbabwe,Jessie Majome,790035057,Start,14.0
243,Zimbabwe,Theresa Makoni,790423262,Stub,14.0
244,Zimbabwe,List of Presidents of the Senate of Zimbabwe,791068367,Stub,14.0
245,Zimbabwe,Blessing Chebundo,791690130,Start,14.0
246,Zimbabwe,George Charamba,793738070,Start,14.0
247,Zimbabwe,Chenhanho Chimutengwende,793820850,Stub,14.0
248,Zimbabwe,Simon Muzenda,794934380,Start,14.0
249,Zimbabwe,Witness Mangwende,794934451,Stub,14.0
250,Zimbabwe,Nathan Shamuyarira,794934469,C,14.0
251,Zimbabwe,Joseph Makamba Busha,795007156,Start,14.0
252,Zimbabwe,Walter Chidakwa,795247525,Stub,14.0
253,Zimbabwe,Maxwell Zeb Shumba,795637625,Start,14.0
254,Zimbabwe,Henry Madzorera,795846349,Stub,14.0
255,Zimbabwe,First Lady of Zimbabwe,796477244,Stub,14.0
256,Zimbabwe,Charles Shanyurai Majange,796608492,Stub,14.0
257,Zimbabwe,Elleck Mashingaidze,796726442,Stub,14.0
258,Zimbabwe,Phillip Chiyangwa,797170378,Start,14.0
259,Zimbabwe,Chenjerai Hunzvi,797225827,C,14.0
260,Zimbabwe,Edward Chindori-Chininga,797414978,Start,14.0
261,Zimbabwe,Arthur Mutambara,797932659,C,14.0
262,Zimbabwe,Edgar Tekere,798106157,C,14.0
263,Zimbabwe,Psychology Maziwisa,798140615,C,14.0
264,Zimbabwe,Isaac Matongo,798248963,Stub,14.0
265,Zimbabwe,Julia Tukai Zvobgo,798468363,Start,14.0
266,Zimbabwe,Jameson Timba,799326094,Stub,14.0
267,Zimbabwe,Ben Ncube,799405378,Stub,14.0
268,Zimbabwe,Obedingwa Mguni,799406056,Stub,14.0
269,Zimbabwe,Denis Norman,799605293,Start,14.0
270,Zimbabwe,Japhet Ndabeni Ncube,800407734,Stub,14.0
271,Zimbabwe,Nicholas Mabodoko,800407872,Stub,14.0
272,Zimbabwe,Fay Chung,800705666,B,14.0
273,Zimbabwe,Alfred Makwarimba,801370822,Stub,14.0
274,Zimbabwe,Elphas Mukonoweshuro,801488585,Stub,14.0
275,Zimbabwe,Elton Mangoma,801497420,Start,14.0
276,Zimbabwe,Edna Madzongwe,802259324,Start,14.0
277,Zimbabwe,Fidelis Mhashu,803084855,Stub,14.0
278,Zimbabwe,Promise Mkwananzi,803579259,Start,14.0
279,Zimbabwe,Saviour Kasukuwere,804677245,Start,14.0
280,Zimbabwe,Walter Mzembi,804678140,Stub,14.0
281,Zimbabwe,Kembo Mohadi,804811059,Start,14.0
282,Zimbabwe,Learnmore Jongwe,804844902,Start,14.0
283,Zimbabwe,Lovemore Madhuku,804895632,C,14.0
284,Zimbabwe,List of Finance Ministers of Zimbabwe,804914333,Stub,14.0
285,Zimbabwe,Joice Mujuru,805993308,C,14.0
286,Zimbabwe,Ignatious Chombo,806656210,Start,14.0
287,Zimbabwe,Robert Mugabe,806814411,FA,14.0
288,Zimbabwe,Tichafa Samuel Parirenyatwa,807159774,C,14.0
289,Zimbabwe,Guy Georgias,807196681,C,14.0
290,Zimbabwe,Grace Mugabe,807337237,GA,14.0
291,Zimbabwe,Guy Clutton-Brock,807442408,Start,14.0
292,Uganda,Template:Uganda-politician-stub,391862070,Stub,44.1
293,Uganda,Template:Uganda-mayor-stub,444767727,Stub,44.1
294,Uganda,Yosia Nadiope of Busoga,655390291,Stub,44.1
295,Uganda,Patrick Mutono,684295893,Stub,44.1
296,Uganda,Stanislaus Okurut,689614169,Stub,44.1
